0	manager.SharEnd
1	manager.CTB
2	manager.PaidSign
3	meta.person
4	manager.IsIdirecotr
5	has_manager
6	manager.IsMTB
7	manager.IsDuality
8	manager.TotalSalary
9	manager.Profession
10	manager.IsMTMT
11	manager.Position
12	manager.IsSupervisor
13	manager.Stkcd_director
14	manager.ServicePosition
15	manager.Gender
16	manager.TMTP
17	manager.OveseaBack
18	manager.IsCocurP
19	manager.Director_ListCO
20	manager.Director_TotCO
21	manager.Degree
22	manager.Age
23	manager.OtherCoType
24	manager.Academic
25	manager.Allowance
26	RPT
27	cat.ISHoldBankShares
28	cat.ISHoldOtherFinaShares
29	manager.Funback
30	manager.OtherCo
31	cat.MngmOverseaBack
32	cat.ConcurrentPosition
33	cat.OneControlMany
34	manager.FinBack
35	cat.Big4
36	manager.University
37	cat.IsCocurP
38	meta.company
39	industry
40	manager.Major
41	cat.MngmFinancialBack
42	cat.ContrshrNature
43	cat.Outside
44	cat.PropertyRightsNature
